accumulate,lr,prefix,proba_drop_chm,proba_drop_rgb,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP
24,0.006,exp0,0.0,0.0,exp0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,RGB and CIR,0.03300174110715883
24,0.006,exp0,0.0,0.0,exp0,117,exp0_5ddfced3391e48b4bba91caf8d4602ef,CHM only,0.1274935898997419
12,0.0025,exp0,0.1,0.1,exp0,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,"RGB, CIR and CHM",0.24212414040660513
12,0.0025,exp0,0.1,0.1,exp0,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,RGB and CIR,0.20807142552564142
12,0.0025,exp0,0.1,0.1,exp0,63,exp0_4c5b0c3b70dc4a65b7aee30cba8848e4,CHM only,0.17158957831025026
12,0.006,exp0,0.0,0.0,exp0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,"RGB, CIR and CHM",0.25103621369028944
12,0.006,exp0,0.0,0.0,exp0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,RGB and CIR,0.07754253235999063
12,0.006,exp0,0.0,0.0,exp0,58,exp0_d7fe840e6ff64f1491bd1e5ed5f6be7b,CHM only,0.16942250180308385
24,0.006,exp1,0.1,0.1,exp1,91,exp1_9f49f32030a14cc998bf9d6e276a0968,"RGB, CIR and CHM",0.11215877299183717
24,0.006,exp1,0.1,0.1,exp1,91,exp1_9f49f32030a14cc998bf9d6e276a0968,RGB and CIR,0.23942940403083546
24,0.006,exp1,0.1,0.1,exp1,91,exp1_9f49f32030a14cc998bf9d6e276a0968,CHM only,0.08623807276585532
6,0.01,exp2,0.0,0.0,exp2,131,exp2_9b271d254c124507bf96b5608e069836,"RGB, CIR and CHM",0.07926980233187328
6,0.01,exp2,0.0,0.0,exp2,131,exp2_9b271d254c124507bf96b5608e069836,RGB and CIR,0.10666512058667806
6,0.01,exp2,0.0,0.0,exp2,131,exp2_9b271d254c124507bf96b5608e069836,CHM only,0.07278116479709794
24,0.01,exp1,0.0,0.0,exp1,65,exp1_a6f41aea2c484a22b5f6573c61b9ffd6,"RGB, CIR and CHM",0.2865611367348304
24,0.01,exp1,0.0,0.0,exp1,65,exp1_a6f41aea2c484a22b5f6573c61b9ffd6,RGB and CIR,0.14640898735718808
24,0.01,exp1,0.0,0.0,exp1,65,exp1_a6f41aea2c484a22b5f6573c61b9ffd6,CHM only,0.11581210467151325
12,0.006,exp1,0.1,0.1,exp1,68,exp1_82cdfbf139a946348bfe9af511091760,"RGB, CIR and CHM",0.14528081701831097
12,0.006,exp1,0.1,0.1,exp1,68,exp1_82cdfbf139a946348bfe9af511091760,RGB and CIR,0.27370487983366415
12,0.006,exp1,0.1,0.1,exp1,68,exp1_82cdfbf139a946348bfe9af511091760,CHM only,0.09806730882155297
6,0.0025,exp1,0.0,0.0,exp1,45,exp1_8d23c3b0b7c84e788825aedbb73788dc,"RGB, CIR and CHM",0.3000616269537283
6,0.0025,exp1,0.0,0.0,exp1,45,exp1_8d23c3b0b7c84e788825aedbb73788dc,RGB and CIR,0.16910552727405456
6,0.0025,exp1,0.0,0.0,exp1,45,exp1_8d23c3b0b7c84e788825aedbb73788dc,CHM only,0.18438589897237595
6,0.006,exp1,0.0,0.0,exp1,48,exp1_e0a06ba394584cfa98db76cb60a1c08a,"RGB, CIR and CHM",0.28650834425863475
6,0.006,exp1,0.0,0.0,exp1,48,exp1_e0a06ba394584cfa98db76cb60a1c08a,RGB and CIR,0.04067549731765228
6,0.006,exp1,0.0,0.0,exp1,48,exp1_e0a06ba394584cfa98db76cb60a1c08a,CHM only,0.13074245345459015
6,0.01,exp2,0.333,0.333,exp2,76,exp2_cd282e14389e4a49a0d4474b79b39c52,"RGB, CIR and CHM",0.20876529326591095
6,0.01,exp2,0.333,0.333,exp2,76,exp2_cd282e14389e4a49a0d4474b79b39c52,RGB and CIR,0.2312732231500403
6,0.01,exp2,0.333,0.333,exp2,76,exp2_cd282e14389e4a49a0d4474b79b39c52,CHM only,0.07565242667316709
6,0.006,exp2,0.0,0.0,exp2,60,exp2_39df4d883d6b4479a8dec9857e537b39,"RGB, CIR and CHM",0.13049903527475892
6,0.006,exp2,0.0,0.0,exp2,60,exp2_39df4d883d6b4479a8dec9857e537b39,RGB and CIR,0.053230031665839554
6,0.006,exp2,0.0,0.0,exp2,60,exp2_39df4d883d6b4479a8dec9857e537b39,CHM only,0.08286014449738317
24,0.006,exp1,0.0,0.0,exp1,69,exp1_7ff0171c1dd044e3a0ed739c9a0b9157,"RGB, CIR and CHM",0.26332230283460445
24,0.006,exp1,0.0,0.0,exp1,69,exp1_7ff0171c1dd044e3a0ed739c9a0b9157,RGB and CIR,0.17432405707914794
24,0.006,exp1,0.0,0.0,exp1,69,exp1_7ff0171c1dd044e3a0ed739c9a0b9157,CHM only,0.1505281599297761
12,0.006,exp2,0.0,0.0,exp2,65,exp2_df48d4687ab5429cae858adc979090b1,"RGB, CIR and CHM",0.21635096947337568
12,0.006,exp2,0.0,0.0,exp2,65,exp2_df48d4687ab5429cae858adc979090b1,RGB and CIR,0.11338780637273183
