chm_z_layers,repartition_name,best_epoch,model_name,Data used for evaluation,Best sortedAP
"[[-inf, 1], [1, 2], [2, 3], [3, 5], [5, 7], [7, 10], [10, 15], [15, 20], [20, inf]]",exp0,67,exp0_452a0e29fa4c4e12a450a036fb413615,CHM only,0.026387337173696557
"[[-inf, inf]]",exp0,78,exp0_21f7a26453104c65ae47c6d89c082198,"RGB, CIR and CHM",0.20587646146888725
"[[-inf, inf]]",exp0,78,exp0_21f7a26453104c65ae47c6d89c082198,RGB and CIR,0.01216813262625156
"[[-inf, inf]]",exp0,78,exp0_21f7a26453104c65ae47c6d89c082198,CHM only,0.03208349262595905
"[[-inf, inf]]",exp2,109,exp2_9a90c71a06904bac86b23f3b51a7db5e,"RGB, CIR and CHM",0.24187050439275562
"[[-inf, inf]]",exp2,109,exp2_9a90c71a06904bac86b23f3b51a7db5e,RGB and CIR,0.02503325295082326
"[[-inf, inf]]",exp2,109,exp2_9a90c71a06904bac86b23f3b51a7db5e,CHM only,0.04842231286691543
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,129,exp3_715e4e4fc4b44a23b0701f00ce61bfe2,"RGB, CIR and CHM",0.237543739808983
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,129,exp3_715e4e4fc4b44a23b0701f00ce61bfe2,RGB and CIR,0.08717430327585851
"[[-inf, 1], [-inf, 2], [-inf, 3], [-inf, 5], [-inf, 7], [-inf, 10], [-inf, 15], [-inf, 20], [-inf, inf]]",exp3,129,exp3_715e4e4fc4b44a23b0701f00ce61bfe2,CHM only,0.12166064817262677
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,70,exp0_7d933faf80f44a939adb1645df5cd2b9,"RGB, CIR and CHM",0.27201049052362536
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,70,exp0_7d933faf80f44a939adb1645df5cd2b9,RGB and CIR,0.026570293293450613
"[[-inf, 2], [-inf, 5], [-inf, 7], [-inf, 12], [-inf, inf]]",exp0,70,exp0_7d933faf80f44a939adb1645df5cd2b9,CHM only,0.1272853557158508
"[[-inf, inf]]",exp1,63,exp1_f2c5e1403dd04de1802389ab694d7aa9,"RGB, CIR and CHM",0.22164836644634858
"[[-inf, inf]]",exp1,63,exp1_f2c5e1403dd04de1802389ab694d7aa9,RGB and CIR,0.01110209566379636
"[[-inf, inf]]",exp1,63,exp1_f2c5e1403dd04de1802389ab694d7aa9,CHM only,0.016569678723414753
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,119,exp2_181755e8b6d64503999b532e31b7933f,"RGB, CIR and CHM",0.15219979487028362
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,119,exp2_181755e8b6d64503999b532e31b7933f,RGB and CIR,0.12840955287652053
"[[-inf, 3], [-inf, 9], [-inf, inf]]",exp2,119,exp2_181755e8b6d64503999b532e31b7933f,CHM only,0.0921684901155136
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,"RGB, CIR and CHM",0.22679914827504707
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,RGB and CIR,0.22649310378661827
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp1,32,exp1_d10dd3f5acf84785ad2d9b2e9bfe5e89,CHM only,0.04082977358158347
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,"RGB, CIR and CHM",0.2760989795592572
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,RGB and CIR,0.26731493525572797
"[[-inf, 2], [2, 5], [5, 7], [7, 12], [12, inf]]",exp4,90,exp4_98f58d98e8f94fdda967c50e454f54b5,CHM only,0.03338254777938251
"[[-inf, inf]]",exp2,99,exp2_59d2f35432984cb4bba3e613e00dc0c4,"RGB, CIR and CHM",0.2294620303322526
